id,createdTime,AuthorRole,CauseCategory,Description,IncidentType,Lat,Long,OccurredAt,Outcome,SecondaryCauseCategory
recJ046AHZt21WDQX,2024-02-28T20:49:55.000Z,Victim,Cyclist Behaviour,"Multiple cyclists and electric scooters all breaking red lights whilst pedestrian lights are green, at school rush hours morning and afternoons.",Near Miss,53.33052091403201,-6.284027831474418,2024-02-28T08:40,No injuries,Infrastructure
recJ4IjiMM6KIQL2R,2024-04-15T07:37:10.000Z,Victim,Driver Behaviour (Bus),"Bus pulled in without indicated while I was in cycle lane, pulling in at speed. I don't think he saw that I was alongside in the cycle lane.",Near Miss,53.30795842431104,-6.236935023530947,2024-04-15T07:52,No injuries,Infrastructure
recJ49CXbRHnvw6bd,2024-09-09T16:12:55.000Z,Victim,Driver Behaviour (Car),Left hooked by car turning left across cycle lane. Needed to slam on brakes,Near Miss,53.34426720018985,-6.3080035222737365,2024-09-09T09:11,No injuries,Infrastructure
recJ1mGuxMuxBKXPG,2024-04-12T08:29:21.000Z,Witness,Driver Behaviour (Car),Car pulled out of Kirwan Street requiring late braking from cyclist coming downhill. ,Near Miss,53.35187217388173,-6.28340827118285,2024-04-11T08:40,No injuries,Infrastructure
recJ81jODUZ8E0c1p,2025-01-23T21:22:42.000Z,Witness,Driver Behaviour (Car),Driver drove on footpath for 100m from bus stop to Mastercare forcing pedestrian to jump out of the way of being hit.,Near Miss,53.37094144755795,-6.207059435851477,2025-01-23T09:00,No injuries,Infrastructure
recJEQGjZxTVQnKrX,2024-09-24T13:48:13.000Z,Witness,Infrastructure,2 cyclist in lane turning left. Coach turned left and kept going despite 1st cyclist knocked off bike and wheel nearly going under bus.,Collision,53.35197729117223,-6.261028887327939,2024-09-19T08:35,No injuries,Driver Behaviour (Bus)
recJCSrDllv47MOrM,2025-07-15T18:10:16.000Z,Victim,Driver Behaviour (Bus),At the junction of Crumlin Rd and Cooley Rd a 77A Dublin Bus pulled into the cycle lane unneccesarily while proceding from the traffic light,Near Miss,53.3259663523813,-6.316071669539497,2025-07-15,No injuries,Infrastructure
recJ8Td0t8H7If3qS,2024-10-11T17:38:36.000Z,Witness,Driver Behaviour (Car),A car parked within the Traffic light set up at the junction of Sallynoggin Road and Pearse Street drove off across traffic and pedestrians.,Near Miss,53.2774964498729,-6.141217164662976,2024-10-10T13:50,No injuries,Infrastructure
recJFIMX1Hbj9Y7MH,2024-08-30T12:54:23.000Z,Victim,Driver Behaviour (Car),Cars going left have to merge across a cycle lane. Car merges without checking for cyclists who had the right of way.,Near Miss,53.34694295308577,-6.283139988533094,2024-08-29T12:51,No injuries,Infrastructure
recJMc4ymz1tSf5IP,2024-02-28T11:27:30.000Z,Victim,Driver Behaviour (E-Scooter or Similar),cars and bikes constantly breaking the pedestrian lights here,Near Miss,53.316606888380164,-6.321398724721291,2024-02-28,No injuries,Cyclist Behaviour
recJNj5vUwOVaKMjF,2024-08-14T09:09:21.000Z,Witness,Driver Behaviour (Other Heavy Vehicle),Van almost hit cyclist while turning left.,Near Miss,53.33543941771751,-6.250689779527676,2024-08-13T12:55,No injuries,Infrastructure
recJRw7dsvWI3PYit,2024-10-08T09:22:58.000Z,Victim,Infrastructure,No cycle lane on downhill section of the road. Need to wait behind cars or hop onto the footpath. ,Hazard,53.377822073469304,-6.287030660830936,2024-10-08,No injuries,Infrastructure
recJQXaUPmW4PAkCg,2025-04-17T21:46:28.000Z,Victim,Driver Behaviour (Car),Driver of car passing at speed forced cyclist to swerve in near the barrier here.,Near Miss,52.66476305736643,-8.629225340219392,2024-10-04T12:31,No injuries,Infrastructure
recJSYzNTiGcIT9Rm,2024-03-15T17:56:29.000Z,Victim,Infrastructure,Drivers blocking the junction preventing crossing onto the cycle lane/shared path,Hazard,51.87435775981501,-8.47099370145304,2024-03-15T17:26,No injuries,Driver Behaviour (Bus)
recJUQTxAvxVhOVqL,2025-07-17T11:51:12.000Z,Victim,Cyclist Behaviour,Heavily pregnant and had to walk into the road and traffic to avoid being hit by a cyclist on the very narrow footpath.,Near Miss,53.41742779854704,-6.1427145537509205,2025-07-10T11:50,No injuries,Infrastructure
recJUu1mQu1IqHqSz,2025-06-11T22:50:55.000Z,Victim,Driver Behaviour (Car),Driver veered into me and clipped my handlebar with his mirror,Near Miss,53.34273324061866,-6.241170466362917,2025-06-10T09:10,No injuries,Infrastructure
recJbN0t66aAo1Wpz,2025-04-04T19:28:39.000Z,Victim,Driver Behaviour (Car),Southbound driver overtook traffic waiting waiting at red light and nearly ran over pedestrian ,Near Miss,53.28616787663387,-9.031935005055345,2025-04-04T09:25,No injuries,Infrastructure
recJb4scCuzbqYaCe,2025-10-06T08:39:26.000Z,Witness,Driver Behaviour (Car),Road cyclist going straight hit by taxi turning left. Emergency services called. Shoulder injury. ,Collision,53.3034236542799,-6.271163270842692,2025-10-05T12:00,Serious injuries,Infrastructure
recJcqiCkHHJGimuR,2024-09-25T19:11:48.000Z,Victim,Driver Behaviour (Car),"Vehicles regularly turn left on a red light, making it hard to use the pedestrian crossing. There is a garda station around the corner.",Near Miss,53.35895061775949,-6.261804243193183,2024-09-23T15:20,No injuries,Infrastructure
recJd71kJrLG9TYHr,2024-02-28T20:31:59.000Z,Witness,Cyclist Behaviour,Regular breaking of red traffic lights by both cyclists and motorists,Near Miss,53.298627097711005,-6.1703155380425585,2024-02-28T14:22,No injuries,Driver Behaviour (Car)
recJj1JlnjIaMStqH,2024-03-01T23:18:04.000Z,Victim,Driver Behaviour (Car),"Car driver pulled out of minor road without looking, hit front side.",Collision,53.32274909976164,-6.320024491540124,2023-12-13T17:00,Minor injuries,Infrastructure
recJgoImO4kKtepEX,2025-02-07T10:17:51.000Z,Victim,Driver Behaviour (Car),I had the green light. Cycling the bike lane straight. The driver did not check for cyclists and turned left and hit me.,Collision,53.336072528843744,-6.2572291467064645,2025-02-07T08:00,No injuries,Infrastructure
recJhQDdYFTkgEGxN,2024-05-05T18:42:05.000Z,Witness,Driver Behaviour (Car),Taxi drover through a red light coming from Pottery Road onto Johnstown Road heading towards Cabinteely.,Near Miss,53.26713743694117,-6.148322527056081,2024-05-04T13:55,No injuries,Infrastructure
recJh4pfZA73YmL4v,2025-04-01T18:26:48.000Z,Victim,Infrastructure,There is no zebra crossing here but there should be.  Thousands of pedestrians cross here and are in direct conflict with cars. ,Near Miss,53.27001690726115,-9.057551675434866,2025-03-19T21:15,No injuries,Infrastructure
recJhFYmpIYN5dG0K,2025-09-19T09:51:21.000Z,Other,Driver Behaviour (Other Heavy Vehicle),Woman in her 20s killed in a collision involving truck driver in Cork City,Collision,51.89726473545281,-8.462760779990958,2025-09-18T18:15,Fatality,Infrastructure
recJi7cIE4f33UFaU,2024-02-28T20:46:25.000Z,Victim,Driver Behaviour (Other Heavy Vehicle),"I was continuing straight ahead (southbound), a large van overtook me and turned left immediately as if I wasn't there.",Near Miss,53.29233274024057,-6.282263653618259,2023-11-10T16:40,No injuries,Infrastructure
recJiv90YOeryYVbN,2024-04-11T15:24:22.000Z,Witness,Infrastructure,Cycle lane kerbing has been knocked out of alignment and now presents a significant hazard for cyclists.,Hazard,53.28931158268449,-6.180588399470196,2024-04-11,No injuries,Infrastructure
recJcdm5Le9Dq8xnz,2024-02-28T21:44:26.000Z,Other,Driver Behaviour (Car),Gabriele Glodenyte killed by a driver ,Collision,53.54434625568413,-6.330788735199349,2023-05-27T10:30,Fatality,Infrastructure
recJjNEwvDtQU69PB,2024-02-29T14:59:59.000Z,Victim,Infrastructure,"Bus pulling out of New Market square, Junction quite difficult to navigate. Have witnessed a number of near misses.",Near Miss,53.33796460481409,-6.278874710231918,2024-01-18T14:56,No injuries,Infrastructure
recJk3aaohb4BRXBB,2024-03-03T15:09:10.000Z,Victim,Driver Behaviour (Car),"Extremely close ""punishment"" pass. 3 riders single file passed at speed with a separation of about 30 cm. Driver had open opposing lane.",Near Miss,53.34669367154311,-9.193975252655946,2024-03-03T11:00,No injuries,Unknown
recJkHXqR40O0Uu23,2025-09-07T20:42:43.000Z,Victim,Driver Behaviour (Car),Close pass,Near Miss,53.28647956776376,-9.050007585549224,2025-09-07T13:40,No injuries,Infrastructure
recJq5GnF3cdoSeiv,2024-10-13T22:21:25.000Z,Victim,Infrastructure,Unfinished junction with no apparent signage to indicate presence of cycle path,Hazard,53.48757434941558,-6.1363057093219595,2024-10-13,No injuries,Infrastructure
recJm1CLJYx0RsHny,2024-02-01T12:26:53.000Z,Victim,Driver Behaviour (Car),I was hit off my bike going from Chelmsford Road to Appian Way as the car alongside me did not indicate or check his mirrors. ,Collision,53.326346964053954,-6.250461277323922,2024-02-01T08:15,Minor injuries,Infrastructure
recJmwQJW1b9xRJPG,2024-03-24T18:34:34.000Z,Victim,Driver Behaviour (Car),Parked car pulled out as I was passing without looking.  Nearly hit me.,Near Miss,53.35815708662534,-6.284570634976319,2024-03-24T16:45,No injuries,Infrastructure
recJrW90kuRLrD5ls,2024-10-19T18:49:43.000Z,Victim,Driver Behaviour (Car),Car jumped pedestrian light nearly hitting me while I was on foot after parking bike and dropping off child.,Near Miss,53.3233729005793,-6.250049395415232,2024-10-18T17:15,No injuries,Infrastructure
recJrPiUfPHEL4Bzf,2024-02-28T09:21:55.000Z,Victim,Driver Behaviour (Car),"Car door opened into traffic lane. Knocked me off bike, required hospital visit.",Collision,53.33339763357844,-6.243971972145459,2020-08-28T19:20,Minor injuries,Infrastructure
recJqWs8ehqdMmXEI,2025-06-11T11:41:55.000Z,Other,Driver Behaviour (Car),19-year-old man was killed when he was struck in a collision involving a van driver ,Collision,53.34017442433935,-6.428574809416915,2025-06-11T07:30,Fatality,Infrastructure
recJrZTljzJrzCvzm,2024-09-13T15:55:27.000Z,Victim,Driver Behaviour (Car),Car turned across path of a bike in bike lane.,Near Miss,52.6578258777447,-7.260928628819954,2024-09-09T08:44,No injuries,Infrastructure
recJsZA7PoU552KBR,2024-02-28T18:14:11.000Z,Victim,Driver Behaviour (Car),Close pass and pushed onto footpath by back seat passenger of VW Golf. ,Collision,53.35943079877441,-6.279747336689752,2020-10-21T17:00,No injuries,Infrastructure
recJvbNaHLquctRf3,2024-03-16T13:20:10.000Z,Victim,Cyclist Behaviour,Cyclist passed walker on the footpath very closely from behind.  ,Near Miss,52.342136500973396,-6.487305765830541,2024-03-14T17:19,No injuries,Infrastructure
recJv3iPy66ikIjkv,2025-06-04T10:50:51.000Z,Victim,Driver Behaviour (Car),"Car was sitting in traffic. Started to turn left as cyclist was about to go by, NO SIGNAL. Luckily cyclist and car stopped in time.",Near Miss,53.33183576107777,-6.292753185806021,2025-06-04,No injuries,Infrastructure
recJtmWMolXlwMGjy,2024-02-28T15:19:23.000Z,Witness,Driver Behaviour (Car),Blackspot for cars running red lights. ,Hazard,53.33643431240054,-6.242420899243143,2024-02-16T08:30,No injuries,Infrastructure
recJvgrWd2ki0a2gH,2024-02-22T20:05:20.000Z,Victim,Driver Behaviour (Other Heavy Vehicle),Van driver moving into left lane without looking (it would appear),Near Miss,53.346127254812615,-6.267281336790575,2024-02-22T19:30,No injuries,Infrastructure
recJvqCUdOn8iEhJf,2024-02-28T22:54:30.000Z,Victim,Driver Behaviour (Car),Car driving in bus lane fails to stop at stop sign and drives straight out onto the quays. I had to break hard on bike to avoid hit,Near Miss,53.347510600726,-6.290608294037668,2024-02-26T09:10,No injuries,Infrastructure
recJw2ZAvx6bhH8Rt,2024-03-04T05:39:57.000Z,Witness,Cyclist Behaviour,Cyclist with no lights,Hazard,53.265099010007816,-6.159601545491427,2024-03-03T20:39,No injuries,Infrastructure
recJw8rARsqKFn5v1,2024-07-25T18:15:44.000Z,Victim,Driver Behaviour (Other Heavy Vehicle),A blue works van driving from Sallynoggin in the direction of Cabinteely drove through a solid red light.,Near Miss,53.26320807021102,-6.148456490781172,2024-07-25T17:30,No injuries,Infrastructure
recJyCGrPZp7OPiDD,2025-03-26T18:04:02.000Z,Victim,Other,Run off the road by small commerical van,Hazard,53.26879434319184,-9.070622172751627,2024-02-12T17:57,No injuries,Infrastructure
recJxTPAuHQFSPU4H,2024-09-11T21:14:52.000Z,Victim,Driver Behaviour (Car),"Driver failed to stop at stop sign/line and proceeded into my path, then remonstrated",Near Miss,53.34744246624814,-6.336813048161417,2024-07-17T16:13,No injuries,Infrastructure
recK0S5uvAgKHD0zV,2025-02-09T22:05:11.000Z,Victim,Driver Behaviour (Car),Car barely missed me by turning left across me as I was continuing straight from Roebuck Road to Callary road.  V dangerous slip turn,Near Miss,53.299424070800654,-6.219185843331616,2025-02-09T20:01,No injuries,Infrastructure
recKBZJCQbWWp5GP3,2024-06-24T21:29:19.000Z,Victim,Driver Behaviour (Car),Complete disregard by all vehicles for anyone trying to go round rhe roundabout on a bike to get into the town,Near Miss,52.17752225102561,-8.904610009895237,2024-05-28T15:30,No injuries,Infrastructure
recK494XzdBHlkt8y,2024-10-06T19:54:00.000Z,Witness,Infrastructure,Cycle lane ends suddenly. ,Near Miss,53.28242652393732,-9.046283938517263,2024-10-03T08:00,No injuries,Infrastructure
recK4V1yqMzNpxgIu,2024-03-16T09:30:53.000Z,Victim,Driver Behaviour (Car),"Cyclist traveling towards Fermoy center, hit head on by approaching motorist coming from Fermoy center, turning right into baile Ard.",Collision,52.13325714548316,-8.270368388818042,2017-05-21T10:50,Serious injuries,Infrastructure
recKDSNX9xcZermAN,2024-03-23T16:24:20.000Z,Victim,Driver Behaviour (Car),"Two cars broke the red light coming up from forge hill at the junction between forge hill, ballycurren and the kinsale road",Near Miss,51.86753141514805,-8.480366751818224,2024-03-23T16:00,No injuries,Infrastructure
recKFFHcLA31kzejf,2025-02-09T18:57:19.000Z,Victim,Infrastructure,Cars coming from the far lane may try to cross into the entrance to the petrol station here and cut across the cycle lane.,Near Miss,53.36036672405345,-6.295003342423399,2025-02-05T17:00,No injuries,Infrastructure
recK2x5kpji6LGsLG,2024-10-16T08:39:17.000Z,Victim,Driver Behaviour (Car),Very close overtake at speed,Near Miss,53.273727898935675,-9.078934306554032,2024-10-14T09:05,No injuries,Infrastructure
recKI2w7jyAOQEgXk,2025-01-30T20:06:49.000Z,Witness,Driver Behaviour (Car),Car driver turning left cut in front of my teenage daughter as she tried to cycle across the junction,Near Miss,53.34821731286428,-6.308343876150957,2025-01-23T08:03,No injuries,Infrastructure
recKI26aUP7fhFOft,2024-02-28T19:52:45.000Z,Victim,Infrastructure,Cyclist very nearly collided with buggy.,Near Miss,53.30292784920903,-6.1791482375795965,2024-02-26T10:14,No injuries,Cyclist Behaviour
recKD3dIVi8O2zSvm,2024-02-29T14:01:28.000Z,Other,Infrastructure,Very narrow footpath beside busy road with no traffic calming. Path is also not raised sufficiently and almost at road level in places.,Hazard,53.24035621348639,-6.122365150554174,2024-02-29,No injuries,Infrastructure
recKIIi7cautnIL6H,2024-06-01T11:59:45.000Z,Victim,Driver Behaviour (Car),Taxi turn right at junction almost hit cyclist approaching from opposite direction heading straight with green light. ,Near Miss,53.325243085181256,-6.254859317209821,2021-05-01T08:45,No injuries,Infrastructure
recKMB7lXT1UJdHoZ,2024-03-15T15:41:09.000Z,Victim,Driver Behaviour (Car),Car rolled through junction as I was cycling straight onto Capel Street. The driver didn't realise it was a contra flow cycle lane.,Collision,53.350241682110294,-6.269455968136924,2023-07-07T16:37,Minor injuries,Infrastructure
recKIPwi6HIklr5vb,2025-10-15T22:38:50.000Z,Witness,Driver Behaviour (Car),Car turning right from Ranelagh Road hit cyclist who was continuing straight through the intersection on the bike lane.,Collision,53.324117005237554,-6.251934767853527,2025-10-15T08:00,Serious injuries,Infrastructure
recKKfEhGFRzSUlSQ,2024-03-15T14:20:20.000Z,Witness,Driver Behaviour (Car),Cars in shared bus/cycle lane,Hazard,53.317743360829695,-6.279737124710579,2024-03-15T08:20,No injuries,Infrastructure
recKNGZKPJZCBxWu9,2024-03-01T17:49:48.000Z,Victim,Driver Behaviour (Car),Car turned left without checking for bike continuing straight in bike lane. ,Near Miss,53.340641721813256,-6.307650243622561,2024-02-29T12:48,No injuries,Infrastructure
recKNPl13rv3c73NP,2024-03-14T14:04:44.000Z,Victim,Driver Behaviour (Other Heavy Vehicle),"Close fast pass by a branded lorry from a local DIY store. I was in a painted cycle lane. I think in this case, the lane made it worse.",Near Miss,53.27016187845069,-9.089287929522271,2022-02-28T14:03,No injuries,Infrastructure
recKQO7yW2aFmKEon,2025-11-18T09:52:38.000Z,Witness,Driver Behaviour (Car),"Cyclist crossing road, car hit cyclist at speed.",Collision,53.294325635403766,-6.250724106513559,2025-11-18T08:25,No injuries,Infrastructure
recKRb7brpRJPNHU1,2024-09-30T15:16:50.000Z,Other,Driver Behaviour (Car),Car overtook cyclist on mini RAB causing the cyclist to take evasive action to avoid being run over,Near Miss,53.25743740729004,-9.090770330678538,2024-09-29T15:12,No injuries,Infrastructure
recKXN1pjPaJsXVz3,2024-03-11T15:49:07.000Z,Victim,Infrastructure,"Car turned right without checking bike lane on their right as I was going straight, resulting in collision.",Collision,53.34579224698396,-6.275658368427003,2023-05-11T15:47,No injuries,Infrastructure
recKXUXO31aEgqQOR,2024-03-16T18:13:27.000Z,Victim,Infrastructure,Roundabout is a deathtrap as a pedestrian or cyclist...,Near Miss,51.81651934559383,-8.39130061226706,2024-03-16,No injuries,Infrastructure
recKapumSUBesEBZt,2024-10-02T20:28:39.000Z,Witness,Driver Behaviour (Other Heavy Vehicle),Commercial vans and lorries often unloads their goods blocking the footpath and contraflow bicycle lane.,Hazard,53.288797622456315,-6.24293264086225,2024-10-02T21:00,No injuries,Driver Behaviour (Car)
recKavyEbiz4wqncg,2024-02-28T15:58:08.000Z,Victim,Driver Behaviour (Car),"Left hook turn, travelling Inbound on bike on the Monivea Road . Car overtook and then turned left. Had to stop pedalling and apply brakes.",Near Miss,53.2909676186425,-8.992743447956514,2024-02-22T14:45,No injuries,Infrastructure
recKdZODfDpd5wni5,2024-02-29T21:23:40.000Z,Witness,Infrastructure,Car exiting church stopped blocking path causing cyclist to stop abruptly and fall,Collision,53.38272041361407,-6.593970883997287,2024-02-29,Minor injuries,Infrastructure
recKdaqM1cmRO9Qfv,2024-03-01T12:54:47.000Z,Victim,Driver Behaviour (Car),Cyclist cut off by car crossing designated bike path. Good breaks on bike saved collision ,Near Miss,52.6381660203717,-8.653295596717925,2024-01-10T09:30,No injuries,Infrastructure
recKgAXKoZhhOFJEh,2025-02-25T21:19:18.000Z,Victim,Infrastructure,"Crossing with a buggy, cars keep coming out of business park to turn into Moycullen road. The only chance that they get to turn is after the",Near Miss,53.28940135037064,-9.073973736565392,2022-02-25T21:16,No injuries,Infrastructure
recKfKzjZ1R49rTJv,2025-03-19T19:38:31.000Z,Victim,Infrastructure,"Due to vegetation, cars exiting the parking lot cannot see oncoming bikes. The signs in the middle of the bike path also make it difficult.",Near Miss,53.35842603519666,-6.190114083450226,2025-03-19T08:30,No injuries,Infrastructure
recKgqj1inAr71ZzV,2025-07-04T08:13:54.000Z,Victim,Driver Behaviour (Other Heavy Vehicle),"Male in van pulled off path out in front of cyclist without checking mirrors or indicating, did a dangerous turn onto road.",Near Miss,53.34069437600479,-6.307628551466564,2025-07-04T07:12,No injuries,Infrastructure
recKh2C6TtNFeJOxP,2024-02-29T20:55:02.000Z,Victim,Infrastructure,"Blind entrance/exit not serviced by the traffic lights. Cars pull out in front of oncoming traffic, undercutting traffic where bus lane ends.",Hazard,53.3276934729152,-6.244711334037902,2024-02-29,No injuries,Infrastructure
recKh4hCgu0wt49z0,2024-10-03T10:48:59.000Z,Victim,Driver Behaviour (Car),Road is narrow and a lot of cars overtake on continuous white line,Near Miss,53.51767872662296,-6.1205540560628435,2024-09-28T11:43,No injuries,Infrastructure
recKiur3pNSlCvG8f,2024-11-08T21:59:14.000Z,Witness,Driver Behaviour (Car),Traffic heading west speed up and run red light at pedestrian crossing.,Hazard,53.397204570392915,-6.2195689345688265,2024-10-31T09:10,No injuries,Infrastructure
recKkFYLzJGKX65bc,2024-03-16T14:20:01.000Z,Victim,Driver Behaviour (Car),"Car pulling out of unofficial parking space without looking, across a cycle lane & nearly knocking me off my bike",Collision,51.89777365976656,-8.451411408875515,2024-03-13T14:17,Minor injuries,Infrastructure
recKrAhrOPGK4ru2u,2025-03-22T15:39:55.000Z,Victim,Driver Behaviour (Car),I was cycling in the segregated cycle track. Tesla overtook me westbound. Then the driver turned right across the cycle track into petrol ,Collision,53.295356155248896,-6.147701651016803,2025-03-22T13:36,No injuries,Infrastructure
recKv69yqhJeYJd4l,2024-03-03T00:45:51.000Z,Witness,Infrastructure,Large van parked outside houses protrudes across the cycle lane forcing cyclists into the roadway.,Hazard,53.276923737439574,-6.140127079416487,2024-03-02T20:00,No injuries,Infrastructure
recKkK9YWsVNKjGa6,2024-03-14T09:28:02.000Z,Witness,Infrastructure,Cyclist hit large steel bollard (placed in middle of mixed use cycle lane) at high speed causing the cyclist to be thrown in the air. ,Collision,53.35320861575346,-6.359812946136088,2023-03-14T20:10,Serious injuries,Infrastructure
recKxc5TAIhfmGU57,2024-10-18T08:01:13.000Z,Victim,Driver Behaviour (Car),"Car in RHL approaching roundabout, swung across cyclist (headed for 12oclock) to take first exit. Cyclist forced to give way for safety.",Near Miss,52.62844540439559,-8.662709783852051,2024-10-18T08:25,No injuries,Infrastructure
recKnwwTlL5WsTshp,2024-02-29T20:10:29.000Z,Witness,Driver Behaviour (Car),"Child cycling to primary school, turning right off of North Circular rd. Driver undertook at speed, child got a massive fright.",Near Miss,53.35868536268751,-6.282448080627773,2024-02-28T08:35,No injuries,Infrastructure
recKmm602cspgyYFY,2024-03-20T16:39:42.000Z,Victim,Cyclist Behaviour,Cyclist travelling east along canal breaking red light when pedestrian green man is on for crossing Parnell Road.,Near Miss,53.33053136983929,-6.284047507277307,2024-02-28T08:50,No injuries,Infrastructure
recL4atSh2FYqYTnv,2024-05-17T07:57:52.000Z,Victim,Infrastructure,Bins and careless pedestrians regularly block this cycle path. When the footpath is busy it's maybe safer to take the bus lane outside.,Hazard,53.34811754524637,-6.293547829550448,2024-05-17,No injuries,Infrastructure
recL5KGCJsrIOVZCi,2024-05-30T21:27:14.000Z,Victim,Driver Behaviour (Bus),Very very close pass by a private coach along the quays. I could have touched it if I put my hand out. ,Near Miss,53.346238349703384,-6.281453385332156,2024-05-29T10:00,No injuries,Infrastructure
recL81AmbbpATtRWm,2024-08-15T08:58:13.000Z,Victim,Driver Behaviour (Car),Car driver performing dangerous overtaking on a narrow cobbled street.,Near Miss,53.34804065988237,-6.275595374481554,2024-08-15T09:10,No injuries,Infrastructure
recLDVKRIXfttkJQ4,2025-07-21T16:29:47.000Z,Victim,Driver Behaviour (Car),Taxi turned left across cycle lane without looking,Near Miss,53.34730093563772,-6.289863683993076,2025-07-21,Minor injuries,Infrastructure
recLF6QgYljcObPgU,2024-04-11T08:06:35.000Z,Victim,Driver Behaviour (Car),Vehicles from West on Thomas St turning right to Thomas Ct when cycle light turns green coming from the East on Thomas St causing conflict,Near Miss,53.34322874412132,-6.281479892185644,2024-04-09T17:30,No injuries,Infrastructure
recLHFLs4xRb3Ejfr,2024-02-28T10:37:22.000Z,Victim,Infrastructure,"Cyclist goes through red light, nearly hitting several school children crossing the pedestrian crossing on green light.",Near Miss,53.33049382035779,-6.2840667672672055,2024-02-22T08:40,No injuries,Infrastructure
recLIaTeH76ic0lXZ,2024-05-09T18:51:55.000Z,Witness,Infrastructure,Cars turning right and also pulling out frequently almost hit or cut off cyclists,Near Miss,53.32710010315736,-6.264759403066705,2024-05-04T15:30,No injuries,Driver Behaviour (Car)
recLKr0vwxqF3nD4d,2024-04-29T11:20:04.000Z,Witness,Driver Behaviour (Car),4 vehicles overtook a line of traffic into oncoming traffic to get to the right turn.,Near Miss,53.27476359979616,-6.351323026119587,2024-04-29T08:29,No injuries,Infrastructure
recLO08yJZV1nMzBD,2024-02-28T22:46:04.000Z,Victim,Infrastructure,"Driver turned left from Rahoon Rd onto SQ road despite me cycling there nearly hit me, I was visible on my bike but he wasn't looking,",Near Miss,53.27417657040888,-9.080290916600944,2018-11-01T12:00,No injuries,Infrastructure
recLSkV6SMJrQjBzb,2024-06-04T09:12:15.000Z,Victim,Driver Behaviour (Car),Very close pass and cars nearly colliding changing lanes,Near Miss,53.4981119250009,-6.194139943459021,2024-06-04T07:50,No injuries,Infrastructure
recLJCa3t6sRlYgWY,2025-03-31T20:46:58.000Z,Victim,Driver Behaviour (Car),Car undertook me on my bike as I turned right from Dublin Rd to Michael Collins Rd.,Near Miss,53.27839422561587,-9.01822535387123,2025-03-24T08:45,No injuries,Infrastructure
recLU50FO2ikkDGP6,2024-12-14T07:16:20.000Z,Victim,Infrastructure,Car turning right into petrol station hit cyclist in contraflow cycle lane.,Collision,53.357544816664074,-6.233490871771465,2024-11-07T09:00,Minor injuries,Driver Behaviour (Car)
recLW0AITRyrT1Vm2,2025-11-06T13:47:01.000Z,Victim,Infrastructure,"Hit by van turning left into the Texaco garage, crossed the line early. Missing bollards allowed him to do so.",Collision,53.28858268774408,-6.175225022899184,2025-11-06T13:30,No injuries,Driver Behaviour (Car)
recLU8pApKpdsdTlc,2024-07-08T08:15:55.000Z,Witness,Driver Behaviour (Car),"Car driver, WELL in excess of 50km/h, blasted past parent and child on bike, crossed into path of oncoming truck to do so.",Near Miss,52.62824265549227,-8.657135747191546,2024-07-08,No injuries,Infrastructure
recLW3KkBUnk4rALI,2025-04-03T11:29:54.000Z,Victim,Other,"Motorbike crossed into my path in the bike lane, collided, went over handlebars, landed on my back and head",Collision,53.32911451779859,-6.231025876243081,2025-03-28T08:10,Minor injuries,Infrastructure
recLfHkZEgs5xj8OC,2025-04-09T09:30:34.000Z,Victim,Driver Behaviour (Car),Car passenger door was opened by passenger onto cyclist who collided with door ,Collision,53.36869451343375,-6.226850542043479,2025-04-09T09:20,Minor injuries,Infrastructure
recLWGBnj6sLc49YB,2024-09-16T09:33:43.000Z,Victim,Driver Behaviour (Car),Dangerous overtaking by a car into oncoming traffic around a bend,Near Miss,53.23094628473589,-6.2209618888691125,2024-08-29T11:00,No injuries,Infrastructure
recLg5EWZ5zGUCtKe,2024-03-24T20:15:18.000Z,Victim,Driver Behaviour (Car),Car turned right across me as I was continuing straight on the bike track across Ossory Road onto Bridge on the ,Collision,53.356687065376235,-6.2439038013220625,2024-03-20T17:40,No injuries,Infrastructure
recLguy69buQ1ZYef,2024-03-04T15:08:39.000Z,Witness,Infrastructure,Road Construction Company have moved the middle of the carriageway closer to the Shopping Centre side of the road.,Hazard,53.27986360178582,-6.135199675556038,2024-03-04T14:10,No injuries,Infrastructure
recLjKihf17WiGsSK,2024-02-28T14:49:28.000Z,Victim,Other,Motorbike nearly hit me as he attempted to overtake a car.,Near Miss,53.34510694815401,-6.272145119267577,2024-02-23T16:32,No injuries,Infrastructure
recLZ6czGoDj5HBAR,2024-03-04T15:26:16.000Z,Victim,Infrastructure,Extremely dangerous junction where there is a blind corner where cyclists meet cars swinging around the corner to go up John Street,Near Miss,51.90204877530701,-8.473416773074064,2024-03-04,No injuries,Infrastructure
recLldp2zOMDz5Om6,2024-09-19T20:26:27.000Z,Victim,Driver Behaviour (Car),Hit while being overtaken,Collision,53.32837762887323,-6.2339194961630255,2023-11-05T18:00,Minor injuries,Infrastructure
recLu4m5MXhWnSkPG,2024-03-15T12:14:49.000Z,Victim,Infrastructure,"The lights changed and the driver set off to turn left, taking a tight turn and about to push me off my bike. ",Near Miss,53.32430744323557,-6.265604446372038,2024-03-13T17:07,No injuries,Driver Behaviour (Car)
recLvv5PhdlderFEA,2025-03-19T11:59:07.000Z,Other,Unknown,Collision at T-junction between cyclist coming down Clare Road and car travelling west on Home Farm Road.,Collision,53.37423916037986,-6.255694456634245,2025-03-16T18:30,Minor injuries,Infrastructure
